R0;GO;03H00;21H00;Mon - Sun;;;
R1;GO;03H00;21H00;Mon - Sun;;;
R2;GO;03H00;21H00;Mon - Sun;;;
R3;GO;03H00;21H00;Mon- Sun;;;
R4;GO;03H00;21H00;Mon - Sun;;;
R5;GO;03H00;21H00;Mon - Sun;;;
B0;BO;03H00;20H00;Mon - Sun;;;
B1;BO;03H00;20H00;Mon - Sun;;;
B2;BO;03H00;20H00;Mon - Sun;;;
B3;BO;03H00;21H00;Mon - Sun;;;
B4;BO;08H00;18H00;Mon - Fri;08H00;12H00;Sat - Sun
B5;BO;08H00;16H00;Mon - Sun;;;
B6;BO;08H00;16H00;Mon - Fri;08H00;10H00;Sat - Sun
B7;BO;08H00;18H00;Mon - Sun;;;
B8;BO;08H00;18H00;Mon - Sun;;;
BD;BO;08H00;18H00;Mon - Fri;08H00 ;13H00;Sat - Sun
BN;BO;03H00 ;21H00;Mon - Sun;;;
BO;BO;08H00;18H00;Mon - Sun;;;
BR;BO;08H00;18H00;Mon - Fri;08H00;13H00;Sat - Sun
BS;BO;23H30;18H00;Mon - Fri;23H30;13H00;Sat - Sun
BU;BO;03H00;21H00;Mon - Sun;;;
C0;BO;08H00;16H00;Mon - Fri;08H00;10H00;Sat - Sun
C1;BO;08H00;18H00;Mon - Fri;08H00;12H00;Sat - Sun
C2;BO;08H00;18H00;Mon - Fri;08H00;12H00;Sat - Sun
D0;GO;08H00;17H00;Mon - Fri;08H00;11H00;Sat - Sun
D1;GO;08H00;19H00;Mon - Fri;08H00;13H00;Sat - Sun
D2;GO;08H00;19H00;Mon - Fri;08H00;13H00;Sat - Sun
G0;GO;03H00;20H30;Mon - Sun;;;
G1;GO;03H00;20H30;Mon - Sun;;;
G2;GO;03H00;20H30;Mon - Sun;;;
G3;GO;03H00;21H30;Mon - Sun;;;
G4;GO;08H00;19H00;Mon - Fri;08H00; 13H00;Sat - Sun
G5;GO;08H00;17H00;Mon - Sun;;;
G6;GO;08H00;17H00;Mon - Fri;08H00;11H00;Sat - Sun
G7;GO;08H00;19H00;Mon - Sun;;;
G8;GO;08H00;18H00;Mon - Sun;;;
G9;GO;03H00;21H00;Mon - Sun;;;
GA;GO;03H00;20H30;Mon - Sun;;;
GB;GO;03H00;21H30;Mon - Sun;;;
GC;GO;03H00;21H30;Mon - Sun;;;
GD;GO;08H00;19H00;Mon - Fri;08H00;14H00;Sat - Sun
GE;GO;03H00;21H30;Mon - Sun;;;
GF;GO;08H00;18H30;Mon - Fri;08H00;13H30;Sat - Sun
GG;GO;08H00;18H30;Mon - Fri;08H00;13H30;Sat - Sun
GH;GO;08H00;16H30;Mon - Fri;08H00;10H30;Sat - Sun
GI;GO;23H30;18H30;Mon - Fri;23H30;13H30;Sat - Sun
GJ;GO;08H00;18H30;Mon - Sun;;;
GK;GO;08H00;16H30;Mon - Sun; ; ; 
GL;GO;08H00;18H30;Mon - Fri;08H00;12H30;Sat - Sun
GM;GO;08H00;19H00;Mon - Sun;;;
GQ;GO;03H00;21H00;Mon - Sun; ; ; 
GR;GO;03H00 ;21H00;Mon - Sun;;;
GS;GO;23H30;18H00;Mon - Fri;23H30;13H00;Sat - Sun
GT;GO;03H00;21H00;Mon - Sun;;;
GU;GO;03H00;21H00;Mon - Sun; ; ; 
GV;GO;08H00;18H30;Mon - Sun; ; ; 
GW;GO;08H00;18H30;Mon - Sun;;;
GX;GO;08H00;16H30;Mon - Fri;08H00;10H00;Sat - Sun
GY;GO;08H00;18H30;Mon - Fri;08H00;12H30;Sat - Sun
GZ;GO;08H00;18H30;Mon - Fri;08H00;12H30;Sat - Sun
RS;GO;03H00;21H00;Mon - Sun;;;
S0;BO;03H00;21H00;Mon - Sun;;;
S1;BO;03H00;21H00;Mon - Sun;;;
S3;BO;03H00;21H00;Mon- Sun;;;
S3;BO;03H00;21H00;Mon - Sun;;;
S4;BO;03H00;21H00;Mon - Sun;;;
S5;BO;03H00;21H00;Mon - Sun;;;
SS;BO;03H00;21H00;Mon - Sun;;;
R0;GI;03H00;21H00;Mon - Sun;;;
R1;GI;03H00;21H00;Mon - Sun;;;
R2;GI;03H00;21H00;Mon - Sun;;;
R3;GI;03H00;21H00;Mon- Sun;;;
R4;GI;03H00;21H00;Mon - Sun;;;
R5;GI;03H00;21H00;Mon - Sun;;;
B0;BI;03H00;20H30;Mon - Sun;;;
B1;BI;03H00;20H30;Mon - Sun;;;
B2;BI;03H00;20H30;Mon - Sun;;;
B3;BI;03H00;21H30;Mon - Sun;;;
B4;BI;08H00;19H00;Mon - Fri;08H00; 13H00;Sat - Sun
B5;BI;08H00;17H00;Mon - Sun;;;
B6;BI;08H00;17H00;Mon - Fri;08H00;11H00;Sat - Sun
B7;BI;08H00;19H00;Mon - Sun;;;
B8;BI;08H00;19H00;Mon - Sun;;;
B9;BI;03H00;21H00;Mon - Sun;;;
BA;BI;03H00;20H30;Mon - Sun;;;
BB;BI;03H00;21H30;Mon - Sun;;;
BC;BI;03H00;21H30;Mon - Sun;;;
BD;BI;08H00;19H00;Mon - Fri;08H00;14H00;Sat - Sun
BE;BI;03H00;21H30;Mon - Sun;;;
BF;BI;08H00;18H30;Mon - Fri;08H00;13H30;Sat - Sun
BG;BI;08H00;18H30;Mon - Fri;08H00;13H30;Sat - Sun
BH;BI;08H00;16H30;Mon - Fri;08H00;10H30;Sat - Sun
BI;BI;23H30;18H30;Mon - Fri;23H30;13H30;Sat - Sun
BJ;BI;08H00;18H30;Mon - Sun;;;
BK;BI;08H00;16H30;Mon - Sun; ; ; 
BL;BI;08H00;18H30;Mon - Fri;08H00;12H30;Sat - Sun
BM;BI;08H00;19H00;Mon - Sun;;;
BQ;BI;03H00;21H00;Mon - Sun; ; ; 
BR;BI;03H00 ;21H00;Mon - Sun;;;
BS;BI;23H30;18H00;Mon - Fri;23H30;13H00;Sat - Sun
BT;BI;03H00;21H00;Mon - Sun;;;
BU;BI;03H00;21H00;Mon - Sun; ; ; 
